goos: darwin
goarch: arm64
pkg: github.com/inaneverb/ekaweb/private
BenchmarkUkvs/Get/StdCtx/32-10           	 9802346	       122.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/StdCtx/32-10        	  484719	      2462 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/StdCtx/32-10     	 9885822	       124.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsGoMap/32-10     	 1366986	       916.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsGoMap/32-10        	66512700	        16.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsGoMap/32-10     	 2352867	       655.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsGoMap/32-10  	563143105	         2.128 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsSlice/32-10     	 1329994	       869.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsSlice/32-10        	72584482	        16.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsSlice/32-10     	 2106925	       604.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsSlice/32-10  	567293742	         2.183 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/StdCtx/64-10        	  431707	      2909 ns/op	    3072 B/op	      64 allocs/op
BenchmarkUkvs/Get/StdCtx/64-10           	 5477280	       224.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/StdCtx/64-10        	  127065	     10359 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/StdCtx/64-10     	 5366380	       232.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsGoMap/64-10     	  603409	      2066 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsGoMap/64-10        	66372294	        16.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsGoMap/64-10     	  967360	      1354 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsGoMap/64-10  	554134728	         2.131 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsSlice/64-10     	  583287	      1945 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsSlice/64-10        	75137167	        16.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsSlice/64-10     	  799134	      1340 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsSlice/64-10  	560680635	         2.127 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/inaneverb/ekaweb/private	155.901s
